"Freq [GHz]","mag(S(1,1)) []"
8,0.0299483855184832
8.05714285714286,0.0292057103361038
8.11428571428571,0.0287262536237971
8.17142857142857,0.0285285499423517
8.22857142857143,0.0286274590332752
8.28571428571429,0.0290330574403252
8.34285714285714,0.0297503430302404
8.4,0.0307798891703352
8.45714285714286,0.0321193153732653
8.51428571428571,0.0337652486833752
8.57142857142857,0.0357154156883091
8.62857142857143,0.0379706080939035
8.68571428571429,0.0405364244000665
8.74285714285714,0.043424833474443
8.8,0.0466557026394215
8.85714285714286,0.050258490661424
8.91428571428571,0.0542743492511818
8.97142857142857,0.0587589330757053
9.02857142857143,0.0637863156605023
9.08571428571429,0.0694545806817173
9.14285714285714,0.0758939571142445
9.2,0.0832788850245666
9.25714285714286,0.0918463113067654
9.31428571428571,0.101924164826941
9.37142857142857,0.113977047717345
9.42857142857143,0.128682181563911
9.48571428571429,0.147060796229426
9.54285714285714,0.170715673151303
9.6,0.202280238536103
9.65714285714286,0.246295845937572
9.71428571428571,0.310873432443902
9.77142857142857,0.409709928172896
9.82857142857143,0.552674305635692
9.88571428571428,0.661520989176793
9.94285714285714,0.576675875116091
10,0.427026451387592
10.0571428571429,0.319604056575118
10.1142857142857,0.24976231965018
10.1714285714286,0.202668094307186
10.2285714285714,0.16923482517546
10.2857142857143,0.144394334483031
10.3428571428571,0.125235170361631
10.4,0.110001502487404
10.4571428571429,0.0975830973115299
10.5142857142857,0.0872479353254826
10.5714285714286,0.0784956350489538
10.6285714285714,0.0709733933872314
10.6857142857143,0.0644257351731126
10.7428571428571,0.0586633390992264
10.8,0.0535430530926482
10.8571428571429,0.048954705879542
10.9142857142857,0.0448121771332602
10.9714285714286,0.0410472115546647
11.0285714285714,0.0376050457246968
11.0857142857143,0.0344412598005182
11.1428571428571,0.0315194737885947
11.2,0.0288096368903321
11.2571428571429,0.0262867400227527
11.3142857142857,0.0239298340981142
11.3714285714286,0.0217212704248395
11.4285714285714,0.0196461003252067
11.4857142857143,0.0176915809391807
11.5428571428571,0.0158467313895973
11.6,0.0141018591809399
11.6571428571429,0.0124479048180888
11.7142857142857,0.0108752587458342
11.7714285714286,0.00937116186625506
11.8285714285714,0.00791313942294778
11.8857142857143,0.00645014576973001
11.9428571428571,0.00484013647462333
12,0.00269091201093128
